id,street_address,city,country,postal_code
1,6271 32nd St.,New York,United States,10001
2,3827 Main St. N,North Royalton,United States,44133
3,285 Dewhurst Blvd.,Toronto,Canada,M4J3J7
4,6834 Burrard St.,Vancouver,Canada,V7C5P4
5,982 De Casto St.,Road Town,British Virgin Islands,10324
6,124 W 23rd St. Apt. 7C,New York,United States,10011-2369
7,90 5507 Nec Rd.,Herstal,Gibraltar,7030
8,Ap #523-720 Vehicula St.,Oxford County,Ethiopia,7549FH
9,"P.O. Box 588, 1072 Curae; Avenue",Watson Lake,India,63-417
10,"Ap #855-5543 Scelerisque, Rd.",Telfs,Mayotte,107963
11,"P.O. Box 883, 6871 Metus. Ave",Paradise,Thailand,47815
12,"P.O. Box 303, 8752 Sed Ave",Laval,India,821389
13,407-8998 Dolor. Rd.,Isola del Gran Sasso d'Italia,Saint Vincent and The Grenadines,496259
14,Ap #862-2521 Nisl Ave,Barbania,Mauritania,62212
15,"P.O. Box 112, 279 Sed Ave",Sart-Eustache,Denmark,66179
16,4797 Non St.,Bhiwandi,Czech Republic,43741
17,"1983 Odio, Rd.",Villa Cortese,Qatar,5339
18,Ap #221-2051 Felis Street,Boo,Greece,2657
19,Ap #381-4179 Posuere Avenue,Garbsen,Bulgaria,84957
20,Ap #883-2418 Ultrices Rd.,Bad Vöslau,Swaziland,68440
21,Ap #325-1998 Magna St.,Hualaihué,Yemen,4101
22,"P.O. Box 852, 4464 Enim Ave",Coquitlam,Laos,3253
23,342-9633 Hendrerit Av.,Milford Haven,Nepal,98930
24,4081 Dis Rd.,Upplands Väsby,Comoros,86206
25,"P.O. Box 896, 349 Ipsum St.",Sciacca,Lithuania,9969
26,891-3111 Vehicula. Road,Alness,New Zealand,X3L 8P2
27,535 Sagittis Road,Inuvik,Åland Islands,6010
28,8558 Egestas St.,Belford Roxo,Ethiopia,6833
29,2010 Neque St.,Mesa,Falkland Islands,61219
30,"1135 At, Ave",Subiaco,Switzerland,6902
31,"P.O. Box 128, 7178 Eu, Ave",Roccalumera,Bhutan,7731
32,850-4094 Purus. Rd.,Anghiari,Guam,V3A 2KN
33,905-6800 Curae; St.,Vergnies,Saint Barthélemy,01459-545
34,986-7060 Neque St.,Wayaux,Bulgaria,3623YV
35,6039 Diam. Rd.,Puchuncaví,Kyrgyzstan,43-579
36,6713 Ullamcorper. Avenue,Whitchurch-Stouffville,Cook Islands,41285
37,246-6994 In Av.,Bhubaneswar,"Palestine, State of",2495
38,"Ap #312-4001 Elit, St.",Maracalagonis,San Marino,SP7 2CE
39,Ap #297-4000 Nunc Rd.,Brahmapur,Åland Islands,C5H 5P9
40,"9282 Imperdiet, Rd.",Guarapuava,Portugal,A5X 2A5
41,Ap #699-1578 Odio Avenue,Thunder Bay,Jordan,5241
42,746-9108 Metus St.,Frederick,Mauritania,M5T 3P3
43,Ap #594-818 Orci Rd.,Dignano,Germany,11818
44,Ap #626-8426 Ornare Rd.,Macclesfield,Bosnia and Herzegovina,37478
45,"P.O. Box 878, 4904 Mauris Avenue",Katowice,Marshall Islands,13257
46,"1532 Est, St.",Worms,United States Minor Outlying Islands,X78 7ZU
47,"P.O. Box 486, 6546 Magnis Rd.",Grey County,Bermuda,22987
48,616-4208 Orci. Avenue,Sant'Angelo a Cupolo,Western Sahara,Q43 9RR
49,Ap #610-3380 Aliquam Rd.,Monte San Savino,Venezuela,50919
50,"P.O. Box 889, 7087 Tristique Road",Episcopia,Tunisia,46614
51,Ap #243-5178 Eros Rd.,Sneek,Lithuania,U8B 6IZ
52,Ap #646-1468 Felis Av.,Ipatinga,Indonesia,04283-488
53,"P.O. Box 749, 1263 Dui Av.",Bojano,Timor-Leste,6651
54,"P.O. Box 643, 9589 Arcu. Rd.",Auvelais,San Marino,31-958
55,8140 Sed Rd.,Pozzuolo del Friuli,Uganda,40693
56,"P.O. Box 743, 2016 Suspendisse Av.",Town of Yarmouth,Viet Nam,734849
57,1789 Risus. Rd.,Saint-Remy-Geest,Myanmar,70549
58,Ap #442-1028 Euismod St.,Bielefeld,Oman,6659
59,474-3007 Egestas St.,Ollolai,Spain,88258
60,Ap #735-2587 Sed Rd.,Sijsele,Brunei,327404
61,"P.O. Box 411, 3438 Proin Road",Arzano,Holy See (Vatican City State),2503
62,561-6048 Donec Av.,Nanaimo,Saint Martin,4789
63,"P.O. Box 124, 2656 Diam St.",Treglio,Grenada,72289-390
64,Ap #691-6824 Accumsan Ave,Beersel,Tajikistan,467419
65,"Ap #355-2676 Eget, Avenue",Balclutha,Comoros,11509
66,9368 Ullamcorper St.,Sint-Andries,Kyrgyzstan,1539
67,"P.O. Box 295, 3406 Mattis St.",Longchamps,Syria,2961
68,"P.O. Box 853, 3710 Fringilla St.",Villers-la-Bonne-Eau,"Saint Helena, Ascension and Tristan da Cunha",418617
69,"8350 Pede, Street",Beigem,Laos,Y3G 3R0
70,4349 Lacinia Road,Le Cannet,Fiji,8908
71,"P.O. Box 383, 4561 In, Rd.",Ayas,Netherlands,539787
72,Ap #706-1112 Tincidunt Av.,Virelles,Cayman Islands,996492
73,615-5239 Fusce St.,Wiesbaden,Namibia,991937
74,8368 Non Av.,Sulzano,Gambia,5439
75,Ap #941-8265 Porttitor Ave,Sasaram,Kiribati,87370
76,5799 Sit Rd.,Fayetteville,Vanuatu,4885
77,"P.O. Box 559, 3968 Fermentum St.",Roubaix,Kyrgyzstan,K9T 3C0
78,Ap #171-2420 Tempus St.,Calder,Mozambique,99452
79,1228 Sollicitudin Avenue,La Granja,Tajikistan,21505
80,531-6204 Adipiscing Avenue,Governador Valadares,"Korea, North",893723
81,Ap #314-2486 In Ave,Judenburg,San Marino,41576
82,"P.O. Box 487, 5877 Mattis Ave",Brecon,Belgium,2861
83,"766-4350 Augue, St.",Wolkrange,Brunei,2958MW
84,"2882 Quis, Road",Aiseau-Presles,Syria,52773
85,750-6972 Hymenaeos. Avenue,Sint-Renelde Saintes,Russian Federation,1438
86,Ap #143-6394 Tellus Road,Carnoustie,Costa Rica,49192
